"","Auth_keywords"
"324","Agrarian change; Food security; Food sovereignty; India; Social wellbeing; Tamil Nadu"
"325","Farmers; Forest; Landscape; Shifting agriculture; Sustainable development"
"326","Arunachal Pradesh; Conservation; Economic value; Himalayan region; Over exploitation; Paris polyphylla; Population status"
"327","Carminative; Digestive disorders; Ethnomedicine; Pharmacological; Quantitative analysis; Swat Valley"
"328","Agribusiness; Agricultural policy; China; Food policy paper type general review; Health"
"329","Anthropobiome; Developing countries; Environmental problems; GDP; India; Subsidies"
"330","Agricultural Heritage Systems Tourism; Artisan farmers; Development framework; Tourism characteristics; Tourism perceptions"
"331","Biodiversity; Ecological agriculture; Green Revolution; Interaction; Organic farming"
"332","Agribusiness; Agricultural finance; Agricultural policy; Case study methodology; Food policy"
"333","Agriculture; Agrobiodiversity; Development; Food security; Nepal"
"334","Agrobiodiversity conservation; Choice experiment; Farmer livelihoods; Finger millet; Nepal; Niche markets"
"335","Climate change; Dryland system; Flexible moment-based approach; Risk premium; Technology adoption"
"336","Barley; Genetic resources; Genomic resources; Hordeum species"
"337","Alternaria brassicicola; Biocontrol; Culture supernatant; Raphanus sativus; Streptomyces hydrogenans DH16"
"338","Bootstrap-Malmquist; China; Crop production; Three-stage Malmquist; Total factor productivity"
"339","Adaptation strategy; Cattle farming; Climate change; Perception"
"340","Adaptive management; Climate change; Cost: benefit analysis; Resilience; Traditional farming systems"
"341","Dominance analysis; Maize equivalent yield; Rainfed uplands; System productivity"
"342","Carbon sequestration; Conservation tillage; Food security; Global averaging; Spatial weighting"
"343","Agriculture; Herding; Labour allocation; Livelihood; Pastoral system"
"344","Decomposition effect; Flue-cured tobacco; Maize stalks return to field; Yield and quality"
"345","Family nutrition; Food security; Homestead gardening model; Malnutrition; Rural employment; Vegetable production"
"346","Barley; Climate change; Millet; Northwestern China; Paleodiet; Stable isotopes; Wheat"
"347","Crop diversity; Ex situ conservation; In situ conservation on farm; Landrace"
"348","Beekeeping; Economics; Ecosystem; Pollination; Yield"
"349","agriculture; and forest policies; food security; forest; governance"
"350","Flue-cured tobacco; Growth; Microbial community; Soil enzyme activity; Soil texture"
"351","Biocontrol; Diversity; Endophytic microbes; Plant growth promotion; Sustainable agriculture"
"352","Agribusiness; E Survey; Perception; Postharvest; Research priority; Vegetables"
"353","Central Himalaya; Cultivated legumes; Nitrogenase activity; Rhizobium; Soil fertility"
"354","Agribusiness model; Farmers participatory approach; Seed plot technique; Seed potato"
"355","Domain-specific recommendation; Precision nutrient management; Sustainable intensification; Yield gap"
"356","Antioxidant activity; Chlorophyll; HPLC; Humic acid; Moringa leaf extract; Phenolic acids; Spinach"
"357","Afghanistan; Food inspection; Food law; Food safety; Food sector"
"358","Genetic diversity; Panicum miliaceum L. Varieties; Population structure; SSR markers"
"359","Cherry; Genetic divergence; Genetic variation; Microsatellites markers"
"360","Akha; Introgression; ORF100; Oryza sativa; Rice landraces; Simple sequence repeat (SSR); Tai Lue"
"361","Agrobiodiversity conservation; Autochthonous landraces; Fagopyrum esculentum; Food traceability; Genetic diversity; Microsatellites"
"362","Climate change; Food security; Sustainability"
"363","Carbon dioxide; Cereals; Methane; Millets; Nitrous oxide; Oilseeds; Pulses"
"364","Beekeeping; Beeswax; Diversity; Honey"
"365","impact analysis; integrated farming system; rural livelihood; water resources development"
"366","impact analysis; integrated farming system; rural livelihood; water resources development"
"367","agricultural sustainability; China; conservation agriculture; sustainable intensification"
"368","Ethnic traditional cultures; Ex-situ conservation; Genetic diversity; On-farm conservation; Rice landraces"
"369","Agricultural communities; AHP; Inherent vulnerability; Uttarakhand; Village level"
"370","biodiversity; climate change; integrated farming; rural India; sustainability"
"371","Climate change adaptation; Crop rotations; Cropping systems; Land use; Mountain agro-ecosystem"
"372","Carbon sequestration; Mosaic agricultural landscape; Rapid Carbon Stock Appraisal; Rubber plantations; Time-averaged carbon stocks"
"373","Agribusiness; Competitive advantage; Industry; Marketing capability; Ownership"
"374","Carbon source; Micropropagation; Plant growth regulator; Young bud; Zingiber officinale"
"375","Bakanae disease; Basmati; Fusarium fujikuroi; India; Rice; Virulence"
"376","Business obstacles; Business performance; Enterprise survey; Firm size; Small and medium enterprises"
"377","Integrated pest management; Pakistan; Pesticide pollution; Pesticide use; Soil health"
"378","Diversity; ethnobotany; home garden; indigenous; Northeast India; people; plant"
"379","Agritourism; Estimation; Qianjiangyue; Recreational value"
"380","Adaptive strategies; Capitals; Principal component analysis; Reorganization actions; Set-aside policy"
"381","barcoding; genomics; karyotype; L-Dopa; linkage map; Mucuna pruriens; NGS"
"382","ecosystem services; food security; forest; resilience; traditional ecological knowledge"
"383","Fish farming; Formal and informal knowledge; India; Information and communication technologies; Knowledge mobilization; Kolli Hills; Nutrition gardening; Social practices; Sustainable food production"
"384","Agricultural sustainability; Crop system; Organic farming; Pest management"
"385","Agro-pastoralism; China; Ecological vulnerability; Governance; Institutional change; Nomadic pastoralism; Pastoralism"
"386","Agroforestry; Livelihood; Shifting cultivation; Social capital; Sustainability"
"387","Agrihorticulture systems; Carbon stock; High-density plantation; Himalaya; Oak; Pecan nut"
"388","biotechnology; India; production risk; smallholder farmers; varietal diversity"
"389","alternative food resources; Food security; functional properties; mango kernel; sensory appraisal"
"390","Apis cerana indica; morphometry; northern India; southern India"
"391","conservation biological control; crop diversity; parasitoids; predators; sustainable agriculture; yield"
"392","China; Cultivated land use decision-making; Human-wildlife conflict; Land abandonment; Livelihood; Mountainous area"
"393","Climate change; Emancipatory politics; Environment and development challenges; Natural disasters; New Himalayan crisis; Sustainable development; Transformative resilience"
"394","AM propagation; Oil cake cubes; Sesame"
"395","food and nutritional security; India; legal framework; minor millets; Neglected and underutilized species"
"396","adoption; intercropping; Rubber; Xishuangbanna"
"397","Agrarian change; Agriculture; Land abandonment; Land use planning; Livelihoods; Nepal; Public policy"
"398","Agricultural land use intensity; Agroecology; Analysis of covariance; Central Nepal; Cropping frequency"
"399","Agricultural landscape patterns; Economic transition; Landscape metrics; Socioeconomic development; Spatial planning; Structural equation modeling"
"400","Agrobiodiversity; Diversity change; Ethnic minority; In situ conservation; Xishuangbanna"
"401","Agro-biodiversity; Arid; Collection; Conservation; India; Semiarid; Weedy; Wild"
"402","Agronomy; Conuco; Erosion; Legume; Mechanization; Nepal; Terrace agriculture; Wall crop"
"403","Consumption patterns; Dietary variety; Focus groups; Perceptions; Rural India ethnography"
"404","Big Data; CLARA and DBSCAN; PAM"
"405","Agriculture sustainability; Crop production; Mineral; Mycorrhiza"
"406","Agribusiness firms; Attitude; Biotechnology R&D investment; China; GM crops; Lobbying activities"
"407","agrarian change; China; land reform; peasants; privatization"
"408","Ecotypes; Ficus palmata; Nutritional value"
"409","Cluster analysis; Genetic diversity; Genetic resources; Pear; Pyrus; Qualitative traits; Quantitative traits"
"410","Agro-physiological traits; Breeding approaches; Cereals; Drought; Dryland agriculture; Heat; Landraces; Legumes; Wild relatives"
"411","Agrobiodiversity; Changing trend; Dong people; Glutinous rice; Landraces"
"412","changing gender roles and relations; food provisioning; Indigenous women; modernization; North-East India; traditional food systems"
"413","Biplot; Characterization; Clustering; Descriptors; Landraces; Maize; North Himalayan Region; Principal Component Analysis"
"414","Climate change; Himalayas; Pakistan; Poverty; Propensity score matching"
"415","Biocontrol; Crop diversity; Cropland expansion; Resource concentration hypothesis"
"416","Disease diagnosis; Expert system; Selenium-rich grape"
"417","Animal health; Breeding; Feeding; Multimedia module; Software"
"418","DIVA-GIS; Germplasm; Grass pea; Lathyrus sativus"
"419","Agribusiness; Bangladesh; expenditure; income; microcredit"
"420","Canonical corresponding analysis; Deterended correspondence analysis; Ecological gradient; Ecological gradient; Electrical conductivity; Geographic information system; Organic matter; Pakistan; Plant associations; Species richness; Thandiani forests of Himalayas"
"421","Biofertilizer; Rice; Seed quality; Seed treatment"
"422","Fertilizers; In-situ live-mulching; Manure; Run-off; Sloping croplands; Soil loss"
"423","Agriculture; Incomes; Nutrient use efficiency; Soil degradation; Water use efficiency"
"424","Climate change adaptation; Diversified shrimp-rice agroecosystems; Food security; Human nutrition; Social-ecological resilience"
"425","Agribusiness; Agricultural institutions; Agricultural sustainable development; China; Regional development policy; Rural development"
"426","ACC-deaminase biotechnology; Agriculture sustainability; Food; Water shortage"
"427","Agriculture, Environment, Food Production, RNR sectors"
"428","Animal protein; Fish; Freshwater; India; Nutritional security; Protein"
"429","Greenhouse; Indoor agriculture; Optimization; Sustainability; Urban farming"
"430","Cluster analysis; Crop diversity; Genetic variability; Rice"
"431","Greenbox; Intensive farming; Internet of things; Robotics; Urban agriculture"
"432","Certification; Coffee; Ecosystem services; Global value chain; Governance; Issue-attention cycle; Potential impact; Sustainability standard; Swing potential"
"433","Bhutan; Ecological solution; Interdisciplinary collaborative effort; Livestock intensification; Wildlife crop damage"
"434","Agribusiness performance; China; Cooperative membership; Growth in sales; Human capital accumulation"
"435","Crop diversity; Mulberry; Natural enemies; Pest incidence; Predatory beetles"
"436","Agricultural biotechnology; Agricultural research output; Count data analysis; Public and private R&D; Research and development investment"
"437","Food security; Macroeconomic policies; Pakistan; Simulation analyses; Simultaneous equations"
"438","Biodiversity; Convention on biological diversity; Gender equality; Gender mainstreaming"
"439","Aquatic agricultural systems; Food security; Income; Nutrition; Participatory approaches; Productivity"
"440","Biodiversity; Cultural value; Development potentials; Ethnobotany; Homegarden; Indigenous people’s ornamentals"
"441","Traditional culture; Vegetable germplasm resources; Wa people; Yunnan Province"
"442","Business development; Business model; Emerging markets; India; Innovation; Rural economy; Small and medium enterprises; Smes; Village cottage agribusiness"
"443","Access to land; Agroforestry; Community-based natural resource management; Food security; Forest recovery; Timber rights"
"444","Conservation plans; Lagadwal; Land capability; Photo elicitation; Soil survey"
"445","Charchan Oasis; ecosystem service; land-use; variation; Xinjiang, northwest China"
"446","Agroecosystem types; Farm yard manure; Indian himalayan mountains; Leaf litter decomposition; Soil macrofauna; Soil quality"
"447","biodiversity; Chakhesang tribe; food security; Indigenous food system; nutritional status"
"448","Crop diversity; Genetic resources conservation; Getartary buckwheat; Traditional agriculture; Yunnan, China"
"449","Fertilizer application rate; Maize; Neural networks; Optimization; Planting density; Regression analysis; Yield"
"450","Arunachal Pradesh; East Siang; Gender and autonomous adaptation; Livelihood portfolios and risks; Perceived climate variability"
"451","Karnal Bunt; Mechanical processing; Quarantine disease; Wheat"
"452","Agro-ecological sub-regions; Antioxidants; Chemical composition; Cuminaldehyde; Cuminum cyminum; Essential oil; Phenolics"
"453","Agroforestry; Energy budget; Hill agriculture; Home garden; Land use pattern"
"454","Farming systems; Livelihood; Nutrition; System; Uttarakhand"
"455","Agrobiodiversity; Conservation; Cultivation; Domestication; Genetic diversity; Wild relatives of cultivated species"
"456","Crop diversification; Land use; Risk perceptions; Rubber specialization"
"457","Aboveground biomass; Belowground biomass; Carbon stock; Forest plantations; Root-to-shoot ratio"
"458","Ethnicity; Land rental market; Land tenure security; Population aging"
"459","China; Diffuse pollution; Extension; Nutrients; Systemic approaches"
"460","Double cropping; Ecosystem services; Irrigation; Land use classification; Sustainable intensification; Technology targeting"
"461","Agricultural co-operatives; Agro-food policy; Case study, China; Technological innovation"
"462","Bangladesh Betar; distance learning; effectiveness of farm programmes; farm programmes; farmers of Bangladesh"
"463","Corchorus; Ecogeographical distribution; Hotspot; India; Species richness"
"464","Abiotic and biotic stress; Plant growth promotion; Tolerance; Trichoderma"
"465","Bagrot valley; climate change; Gilgit-Baltistan; mixed mountain agriculture; vegetation density"
"466","Herbicides; Maize; Rice; Weed management; Wheat"
"467","Agricultural technology adoption; India; Social learning; Social pressures"
"468","Agriculture; Farming systems; India; Market orientation; Women’s empowerment"
"469","Ethnobotany; India; Millets; Nocte; Rice; Traditional knowledge"
"470","Abiotic stresses; Chinese milk vetch (Astragalus sinicus); Cultivation and management; Germplasm resource; Rhizobium; Soil ecology"
"471","Circular agribusiness; Fuzzy TOPSIS; Knowledge management; Strategic knowledge management"
"472","Drought stress; genetic gains; genomics-assisted breeding; legumes; rainfed agriculture"
"473","agricultural information; big data; precision agriculture; remote sensing"
"474","Agronomy; Intrastate conflict; Potential crop yield"
"475","Adaptation; Agriculture; Climate change; Mitigation"
"476","Homegarden systems and practices; Organic mission; Sikkim Himalaya; Traditional farming systems; Traditional knowledge systems"
"477","Amrasca devastans Dist.; Brinjal; Efficacy; Insect Growth Regulator (IGR); Neonicotinoids"
"478","Crops disease diagnosis; Expert system; Fuzzy inference system; Fuzzy logic"
"479","DDE; DDT; Endosulphan sulphate; Gas chromatography mass spectrometry; Milk; Organochlorine pesticides; Ɣ-HCH; α-Endosulphan; β-Endosulphan"
"480","drought; meteorology; North Darfur region; remote sensing; vulnerability index"
"481","Cultivars; Hybrids; Markets; Policy; Production technology"
"482","Benefit–cost ratio; Conventional agriculture; Jholmol; Vegetable farming"
"483","Adaptive capacity; Drought; Exposure; Gadaref region; Sudan; Vulnerability"
"484","agrodiversity; cash crops; energy; Traditional crops; Western Himalaya"
"485","Genetic diversity; Juglans regia; Molecular characterization; SSR markers; Structure analysis"
"486","Diversity; Ecotourism; Himalayan honey hunting; Honey flora; Mites predators; Nepal"
"487","Conservation; India; Livelihood; Participatory planning; Relocation; Similipal"
"488","AM fungi; Azospirillum; growing media; Kinnow mandarin; PSB; rough lemon"
"489","Agroecosystems; Butterfly; Conservation; Eastern Himalaya; Host plants"
"490","Agri-food systems; Agro-ecosystems; Biodiversity; Conservation agriculture; Crop-livestock-agroforestry; Crops/cropping system diversification; Ecosystem health; Farm holding; Food-feed-bioenergy-crop residue tradeoff; Improved seed; Malnutrition; Plant-microbe interaction; Weather-based forecast"
"491","Grey relational analysis; Land use; Loess hilly region; Soil moisture; Soil water storage characteristics; Vertical variation"
"492","Bihar; Conservation agriculture; Drought; Livestock; Scenario evaluation, Climate change; Socio-ecological system"
"493","Agriculture; Climate change; Crop productivity; Cropping season; Himalayas"
"494","Eastern Himalayas; Integrated farming system; Net returns; Sustainable value index"
"495","Crop establishment; Maize-wheat rotation; Nutrient management; Residue management; Sustainable intensification; Tillage"
"496","Conventional and zero tillage; Maize and wheat productivity; Permanent narrow and broad beds; Residue retention; Soil organic carbon"
"497","Agribusiness; Stakeholder theory; Sustainable food; Vague interpretive structural modelling"
"498","Bayesian approach; Biodiversity conservation; Crop diversity; Occupancy; Sustainable agroecosystem; Vegetable cultivation"
"499","crop rotation; disease suppression; microbial diversity; structure–function relationships"
"500","credit accessibility; credit constraints; Pakistan; probit model"
"501","Development orientation; Endowment resources; Investment attraction; Less developed townships; Matching coefficient; Southwest China"
"502","Genetic diversity; Morphological characterization; North East India; Ricebean (Vigna umbellata)"
"503","Brassica Napus; Foraging Activity; Insect Relative Abundance"
"504","Food security; Kailash Sacred Landscape; Traditional knowledge; Wild and non-cultivated edible plants"
"505","Food security; Kailash Sacred Landscape; Traditional knowledge; Wild and non-cultivated edible plants"
"506","adoption; Agricultural innovations; farmer perception; intercropping; participatory approaches; sustainable intensification"
"507","Agriculture; Metafrontier production function; Nepal; Stochastic frontier analysis; Technical efficiency"
"508","Agricultural landscape; Agroforestry; Ecological value assessment; Farmers' sociocultural perception; Land use/land cover types"
"509","community seed systems; Farmers’ rights; food sovereignty; household production and dietary diversity; nutritional security"
"510","Food security; Grain production transition; Land use transition; Per capita farmland area; Urbanization"
"511","agrobiodiversity; Hindu-Kush Himalayan region; malnutrition; mountain food systems; nutrition security; sustainability; systems analysis"
"512","Alps; Andes; Climate change; Farm structures; Geography; Glaciers; Himalaya; Kilimanjaro; Lentils; Quinoa; Rice; Slopes"
"513","Deforestation; Dir valley; Household changes; Land use dynamics; Panjkora River"
"514","Agrobiodiversity; Conservation; Landrace; Newar radish; Salinity; Traditional knowledge"
"515","crop growth rate; crop residue; N-rate; radiation use efficiency; tillage depth"
"516","Baking quality; Gene introgression; Physicochemical grain quality; Triticum aestivum; Yield performance"
"517","Domestic credit; Energy; Environmental changes; Food production"
"518","Degraded lands; Food security; Land use; Marginal lands; Sustainable development"
"519","Global Economics; International tourists; Tourism; W.T.T.O; World travel and tourism council"
"520","Buried position; Irrigation; Moisture; Sensor; Soils; Uniformity coefficient"
"521","Chickpea; Economics; Grid zone; Package of practices"
"522","Antioxidants; Ascorbic acid; Drought tolerance; Orange juice; Phytoextracts quinoa (Chenopodium quinoa); Sugar metabolism"
"523","Farming system; Livelihood improvement; Productivity; Recycling"
"524","IFS; Sustainability"
"525","Land equivalent ratio; Seasonal intercropping; Terrace agriculture; Total land productivity; Year-round intercropping"
"526","Carbon; Carbon management index; Land use systems; Nitrogen stock"
"527","Eco-economic zone; Farmers’ entrepreneurship; Location advantage; Path choice"
"528","Arboriculture; Castanea; China; Near East; Nuts; Olea; Phoenix; Prunus; Unconscious selection; Ziziphus"
"529","Best management practices; Inequality; Social exclusion; Soil health"
"530","Biscuit; Bread; Deoxynivalenol (DON); Dietary exposure; HPLC; Wheat"
"531","Fertilizer application rate; Neural networks; Optimization; Planting density; Regression analysis; Soybean; Yield"
"532","China; Competence; Cooperatives; Farm bases; Fresh apples; Organizational trust; Trustworthiness"
"533","Acid soils; Himalayas; Organic farming; Phosphate solubilizers; Phosphorus; Soil enzymes"
"534","A. Cristatum 2P chromosome translocation lines; Leaf rust resistance; Molecular marker; Novel disease-resistant germplasm; Physical mapping; T. Aestivum"
"535","Economic development; Kinnaur; Land reform; Land tenure; Shifting agrarian relations; Western Himalaya"
"536","Gene introgression; Hybridization speciation; Juglans; Phylogeography; Population genetic"
"537","Aromatic rice; Genetic diversity; Landraces; Population structure"
"538","Common walnut; EST-SSR; Genetic diversity; Genetic structure; Introgression; Iron walnut; Juglans regia; Juglans sigillata; Southwestern China"
"539","Analytic hierarchy process (AHP); Conservation agriculture (CA); Indian tribal farmers; Maize based cropping system; Rainfed agriculture; Soil quality; Transdisciplinary approach"
"540","Agricultural carbon reduction; Biochar compound fertilizer; Carbon trading; Climate change; Methodology framework; Straw pyrolysis"
"541","Alternate land-use systems; Arid zone; Integrated farming system; Resilience"
"542","Alternate land-use systems; Arid zone; Integrated farming system; Resilience"
"543","Aerobic composting; Agronomic effect; Functional group; Humic substance; Organic waste"
"544","Environment (built and natural)–Agriculture, Climate change, Food security; South Asia"
"545","Agricultural demonstration; Ecological agriculture; Precision agriculture; Regional agricultural demonstration; Water saving agriculture"
"546","Chlorophyll; Compatible solutes; Moringa leaf extract; Osmopriming; Phenolics; Relative water content; Seedling establishment"
"547","Blackgram; Rice fallow condition Seed treatment; Sowing method"
"548","Correlation; Growth traits; Harnai sheep; Regression coefficient"
"549","Agriculture monitoring; Internet of Things; Wireless sensor networks"
"550","Commercialization; Demand creation; Nutrition and health benefits; On-farm interventions; Sorghum; Value-added processing"
"551","Fragmentations; Land tenure; Landholdings; Law of inheritance"
"552","Agritourism; Consumption; Field; Spatial distribution"
"553","Agricultural big data; Agricultural information perception; Artificial intelligence; Integrated application; Internet of things in agriculture; Wireless sensor networks"
"554","Emergy; Maize monocropping; Maize–soybean intercropping; Sustainability; The North China Plain"
"555","Conservation agriculture; Cropping system; Soil quality and biota; Soil quality index; Sustainable intensification; System productivity"
"556","ancient agriculture; environmental pollution; food security; soil conservation; water scarcity"
"557","Adoption; Diversification; Farm-technology; Organic farming"
"558","Arable landscape system classification; Climatic characteristics difference; Geographically weighted regression (GWR); Population mobility; Redundancy analysis (RDA); Urban expansion"
"559","Apex predatorsAgro-ecosystemsBhutanCarnivore conservationPredator guildTrophic cascade"
"560","Finger millet; Tornqvist-theil index; Total factor productivity; Yield gap analysis"
"561","Farm size; Land tenure; Land use policy; Myanmar; Small and medium enterprises; Value chain"
"562","Agriculture; Income earning; Labor force; Teesta barrage project; Visible and invisible constraints; Women's engagement"
"563","Chloroplast; Ecological niche model; Genetic structure; Juglans regia; Microsatellites; Migration; Persian walnut; Refugia"
"564","Hormone; Limited irrigation; Planting patterns; Rainfall; Seed filling process; Wheat yield"
"565","Crop diversity; Interspecific facilitation; Niche differentiation; Overyielding; Phosphorus"
"566","ecologically sound land use change; ecosystem service; human activity; land ecosystem degradation; land policy"
"567","agriculture; food security; grain production; sustainable development"
"568","Adoption and impact; Applied genomics; Gene editing; Global warming; Phenomics; Photosynthesis; Stress-tolerant cultivar; Transgene"
"569","Drip irrigation; Drought simulation; Maize; Soil profile vertical transect measurement; Water application uniformity"
"570","Agritourism; Ecosystem services; Ecotourism; Recreational industry; Wetland-agriculture interactions"
"571","Agriculture; Innovation; Livelihood; Macadamia; Nepal; Walnut"
"572","Determinants; Food sufficiency; Land abandonment; Problem and solution analysis"
"573","Ecosystem; Environmental awareness; Household wealth; Rubber farmer"
"574","Dependency; Food aid; Karnali; Land abandonment; Nepal; Rice"
"575","Food consumption; Forest; Fuelwood; Land requirement; Trees outside Forest (TOF)"
"576","Agribusiness; China; Farmer cooperative; Governance; Hybrid form of organization"
"577","Agriculture; Enterprise resource planning; Performance evaluation"
"578","Agripreneurship; Community entrepneurship; Data envelopment analysis; Diversified utilization"
"579","Adaptation; Agriculture; Food security; Hindu-Kush Himalaya; Livelihoods; Mountain"
"580","Adoption study; Climate change; India; Potato varieties; Resilience"
"581","Cosmic ray neutron probe; Hundred-meter scale; Hydrogen atom; Soil moisture monitoring"
"582","Geographic information system; Machine learning; Precision farming"
"583","Climate resilient agriculture; India; Sustainability indicators; Vulnerability"
"584","Cleistogenes songorica 'Tenggeli'; Harvest rate; Seed cleaning; Seed quality; Seed threshing"
"585","AHP; LCA; Multi-criteria analysis; Pistacia vera L.; Sensitivity analysis; Sustainability"
"586","Breeding; Domestication; Genetic and genomic resources; Macrotyloma; Nutraceutical properties; Nutritional value"
"587","Bangladesh; Future smart foods; Nepal; Sustainability; Traditional food crops"
"588","Aesthetics; Agritourism; Big data; Maxent; Recreation"
"589","Agricultural extension; collective action; farmer advisory services; information sharing; plant health; social networks"
"590","Herbicide; Insecticide; Knowledge; Pesticide; Plant protection"
"591","Agricides; Antibiotics; Biocides; Co-resistance; Cross-resistance; Heavy metals"
"592","China; Choice experiment; Contingent valuation method; Pollution; Willingness to accept"
"593","Biodiversity; Ecological agriculture; Food Security; Green Revolution; Interaction; Organic farming"
"594","Agriculture; Crop raiding; Himalayas; Wild pig"
"595","Climate change; Resilient drylands; Soil microbes; Sub-saharan africa; Sustainable agriculture"
"596","Domestication; Genetic diversity; Landraces; Population structure; Potato; SSR"
"597","Germplasm resource; Tobacco breeding; Tobacco germplasm"
"598","Foraging strategy; Genetic diversity; Mycorrhizal colonization; Nutrient patch; Plant interaction; Rhizosphere properties; Root trait"
"599","Community supported agriculture; Ecological agriculture; Industrial blossom; Rural vitalization; Triple agricultural industry"
"600","Conservation tillage; Residue management; Rice–rice system; Soil carbon sequestration; Soil nitrogen sequestration; System productivity"
"601","Conservation tillage; Transpiration; Water potential gradient; Water transfer resistance; Water use efficiency"
"602","Dispersal ability; Flowering ground-cover; Habitat restoration; Landscape composition; Pollinator"
"603","Coupling relationship; Land use transition; Multifunctional agriculture; Rural restructuring; Rural vitalization; Urban–rural integration"
"604","crop diversity; holobiont; pattern; pest and disease management; phytobiome; priming resistance; sustainability"
"605","Arbuscular mycorrhizal fungi; Crop diversity; Intercropping; Legumes; Long-term field experiments; Maize; Nitrospirae; Soil aggregates; Sordariales"
"606","agricultural policy tool; Farm Assessment Index; indicators; organic and conventional farming; stock and flow framework"
"607","Agro-ecozones; Hulless barley; NW Yunnan"
"608","Microclimate; Small-scale greenhouse farmer; Smart agriculture; Wireless sensor network"
"609","Agritourism; China; combination of functions; consumer’s expenditure; distance; diversification; diversity of offerings; interactive effect; marketing mix; quality"
"610","Agricultural development; Farm productivity; Investment decision; Land tenure; Land use sustainability; Soil conservation"
"611","Agrifood chain; Ethic and values; Food safety; Food system; Knowledge"
"612","Bagrot valley; climate change; internal transcript sequence; soil organic matter"
"613","Altitude; Apple; Environmental factor; Flower bud differentiation; Latitude"
"614","Biocultural diversity; Coevolution; Development; Everyday practice; Pamir Mountains; Resilience; Ritual"
"615","DMOR mathematical model; Logistic curve; Plant height; Rice; Tiller"
"616","Carbon dioxide trapping agent; Flue-cured tobacco; Metabolism of carbon and nitrogen; Photosynthetic characteristic; Quality; Unusable leaf; Yield"
"617","Reduced tillage; Rice-lentil cropping system; Soil properties"
"618","Aggregate associated carbon; Crop management; Crop productivity; Particulate organic carbon; Soil organic carbon"
"619","Agro-ecosystem; Energy; Himalaya; Livestock"
"620","Energy budget; Intercropping system; Jatropha; Mustard; Soybean; Wheat"
"621","Energy; Energy use efficiency; Fodder; Goatry; Mushroom; Poultry; Vegetables"
"622","China; E-commerce; Short food supply chain; Social commerce"
"623","Education and knowledge poverty alleviation; Influencing mechanism; Multifunctional agricultural cluster; Supply side reform"
"624","Land use; Scenario; Urbanization"
"625","Disease index; Disease resistance; Fusarium spp.; Tobacco"
"626","Agribusiness; Asia; India; phytosanitary; sanitary; value chains; WTO"
"627","Luxury transpiration; Stomatal conductance; Water threshold; Water use efficiency; Winter wheat"
"628","Decision making; Modelling; Performance management; Supply chain management"
"629","Adaptation; Adoption; DUS; Farmers' varieties; High yielding varieties; PVP certificates; Seed replacement rates (SRRs)"
"630","AGDP; Credit distribution; Crop production; Fertilizer consumption; Water availability"
"631","Culture; Disease; Dominant; Families; Healthcare; Indigenous"
"632","Fluoride; Remediation technology; Soil; Speciation"
"633","Exudate; Intercropping; Iron (Fe); Microorganism; Rhizosphere"
"634","Adaptation; Climate change; Feminist political ecology; Gender; India; On-farm agrobiodiversity"
"635","Climate change; Gendered vulnerability; Hindu Kush Himalaya; Intersectionality"
"636","Activity; Amylase; Gene expression; Tobacco"
"637","Gene introgression; Genetic diversity; Juglans; Microsatellites; Sympatric populations"
"638","EMS; Gamma rays; HPLC; Mutants; Nigella; Thymoquinone"
"639","Agrobiodiversity; ethnobotany; germplasm conservation management; Moraceae; neglected and underutilized crops; orphan crops; plant genetic resources"
"640","Cydia pomonella; Habitat manipulation; Intercropping; Management"
"641","Dietary diversity; Food security; Home gardens; Myanmar"
"642","agribusiness; corporate social responsibility; India; stakeholder management"
"643","Caohai watershed; Non-point source pollution; Regulation project; SWAT model"
"644","Conserved motifs; Loblolly pine (Pinus taeda L.); Phylogenetic analysis; Terpenoid biosynthesis; Transcriptome analysis"
"645","Asian countries; Land management; Land use function; Remote agricultural area"
"646","Biodiversity; Ecosystem services; Interspecific difference; Landscape heterogeneity; Scale effects; Time lag effects; Trophic cascade effects"
"647","Agriculture; Communication; Gilgit-Baltistan; KKH; Land use; Mechanization"
"648","Biomass production; Carbon retention efficiency; Carbon sequestration; Conservation agriculture; Hill ecosystem"
"649","Agronomic practices; Biochar; Fertilizers; Organic manure; Sequestration; Soil quality"
"650","Dietary diversity; Farm production diversity; Food frequency method; Nutrition and health; Nutrition-sensitive agriculture"
"651","Biocontrol agents; Downy mildew; Pearl millet; Plant extracts; Seed priming"
"652","Classification; Cultivated land fragmentation; Influential factors; Jiangsu Province; Land consolidation; Regional differentiation"
"653","Adaptation; Climate change; Crop diversification; Livelihood; Resource use efficiency"
"654","Integrated farming systems; Roadmap; Small and marginal farmers; Sustainability"
"655","Cluster approach; Hill agriculture; Organic food production; Resource recycling; Technology dissemination"
"656","allelopathy; Asteraceae; interference; invasive weed; leachate; traditional crops"
"657","Frankliniella occidentalis; integrated pest management; invasion biology; invasive alien species; monitoring"
"658","Anthracnose; Molecular markers; Physiologic races; Variability; Virulence"
"659","agricultural labor; feminization; production decision-making control; production management control"
"660","Agriculture entrepreneurship; Belt and Road Initiative; Food distribution; Infrastructure; Market; Performance"
"661","Agrodiversity; historic crop varieties; landraces; traditional agriculture; Von Siebold"
"662","Agent-based modelling; Cropping patterns; Host-pathogen interactions; Participatory modelling; Social-ecological systems"
